theta,x,z
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.4,0,0
-1.39,0,0
-1.36,0,0
-1.27,0,0
-1.16,0,0
-1.02,0,0
-0.85,0,0
-0.7,0,0
-0.54,0,0
-0.41,0,0
-0.28,0,0
-0.19,0,0
-0.11,0,0
-0.05,0,0
-0.01,0,0
0,0,0
0,0,0.03
0.01,0,0.09
0.01,0,0.13
0,-0.01,0.18
-0.02,-0.01,0.23
-0.03,-0.01,0.27
-0.05,-0.01,0.32
-0.07,-0.01,0.37
-0.08,0.01,0.42
-0.07,0.04,0.46
-0.06,0.09,0.51
-0.04,0.14,0.54
-0.01,0.2,0.57
0.02,0.26,0.6
0.05,0.32,0.62
0.07,0.36,0.63
0.05,0.39,0.64
0.05,0.41,0.65
0.03,0.41,0.66
0.02,0.42,0.67
0,0.43,0.68
-0.01,0.43,0.68
-0.01,0.44,0.69
-0.01,0.45,0.69
0,0.46,0.7
0,0.47,0.7
0,0.48,0.7
0,0.49,0.7
0,0.5,0.71
0,0.5,0.71
-0.01,0.5,0.71
-0.01,0.5,0.71
-0.01,0.5,0.71
-0.02,0.5,0.71
-0.01,0.5,0.71
-0.01,0.51,0.71
0,0.52,0.71
0,0.52,0.7
0,0.52,0.7
0,0.52,0.7
0,0.52,0.7
0.01,0.52,0.7
0.02,0.52,0.69
0.02,0.52,0.69
0.02,0.51,0.69
0.01,0.49,0.69
0,0.47,0.69
-0.02,0.45,0.69
-0.03,0.44,0.7
-0.03,0.43,0.71
-0.02,0.43,0.71
-0.02,0.43,0.72
-0.02,0.43,0.73
-0.03,0.43,0.73
-0.03,0.43,0.74
-0.04,0.43,0.75
-0.03,0.45,0.75
-0.02,0.47,0.76
0,0.49,0.76
0.01,0.51,0.76
0.02,0.53,0.76
0.02,0.53,0.75
0.01,0.54,0.75
0,0.54,0.75
0,0.54,0.74
-0.01,0.54,0.74
-0.01,0.54,0.74
-0.01,0.55,0.73
0,0.55,0.73
0,0.56,0.72
